Time_ns,In_L,In_R,Out_L,Out_R,Valid_Out
5715,0,0,-3759,29940,1
5725,0,0,-7460,29763,1
5735,0,0,-11043,29468,1
5745,0,0,-14452,29057,1
5755,0,0,-17633,28531,1
5765,0,0,-20536,27893,1
5775,0,0,-23115,27144,1
5785,0,0,-25329,26289,1
5795,0,0,-27144,25329,1
5805,0,0,-28531,24270,1
5815,0,0,-29468,23115,1
5825,0,0,-29940,21869,1
5835,0,0,-29940,20536,1
5845,0,0,-29468,19122,1
5855,0,0,-28531,17633,1
5865,0,0,-27144,16074,1
5875,0,0,-25329,14452,1
5885,0,0,-23115,12773,1
5895,0,0,-20536,11043,1
5905,0,0,-17633,9270,1
5915,0,0,-14452,7460,1
5925,0,0,-11043,5621,1
5935,0,0,-7460,3759,1
5945,0,0,-3759,1883,1
5955,0,0,0,0,1
5965,0,0,0,-1883,1
5975,0,0,0,-3759,1
5985,0,0,0,-5621,1
5995,0,0,0,-7460,1
6005,0,0,0,-9270,1
6015,0,0,0,-11043,1
6025,0,0,0,-12773,1
6035,0,0,0,-14452,1
6045,0,0,0,-16074,1
6055,0,0,0,-17633,1
6065,0,0,0,-19122,1
6075,0,0,0,-20536,1
6085,0,0,0,-21869,1
6095,0,0,0,-23115,1
6105,0,0,0,-24270,1
6115,0,0,0,-25329,1
6125,0,0,0,-26289,1
6135,0,0,0,-27144,1
6145,0,0,0,-27893,1
6155,0,0,0,-28531,1
6165,0,0,0,-29057,1
6175,0,0,0,-29468,1
6185,0,0,0,-29763,1
6195,0,0,0,-29940,1
6205,0,0,0,-29999,1
6215,0,0,0,-29940,1
6225,0,0,0,-29763,1
6235,0,0,0,-29468,1
6245,0,0,0,-29057,1
6255,0,0,0,-28531,1
6265,0,0,0,-27893,1
6275,0,0,0,-27144,1
6285,0,0,0,-26289,1
6295,0,0,0,-25329,1
6305,0,0,0,-24270,1
6315,0,0,0,-23115,1
6325,0,0,0,-21869,1
6335,0,0,0,-20536,1
6345,0,0,0,-19122,1
